Element & Symbol,Electronegativity,Atomic Radii (pm),Thermal Conductivity (W/m·K),Melting Point (K),Density (kg/m3),Crystal structure,Electrical Conductivity (S/m) x 10^-06,Resistivity (n?·m),Gibbs Free Energy (kJ/mol),Standard Electrode Potential (V),Specific Capacity (mAh/g),Ionization Energy (kJ·mol-1),Electron Affinity (kJ·mol-1)
Lithium (Li),0.98,152.00,84.80,453.50,535.00,BCC,11.6,86.20,-237.30,-3.04,3862.00,520.20,-60.00
Beryllium (Be),1.57,112.00,200.00,1560.00,1848.00,HCP,41.8,55.60,-609.30,-1.85,2140.00,899.50,46.60
Sodium (Na),0.93,186.00,142.00,370.72,970.00,BCC,21,45.60,-240.10,-2.71,1160.00,495.80,52.80
Magnesium (Mg),1.31,160.00,156.00,923.00,1738.00,HCP,22,43.90,-601.80,-2.37,2205.00,737.70,79.10
Aluminum (Al),1.61,143.00,205.00,933.00,2700.00,FCC,38.2,27.00,-559.00,-1.66,2980.00,577.50,-42.50
Potassium (K),0.82,203.00,102.00,336.00,862.00,BCC,14,83.00,-271.00,-2.93,2640.00,418.80,48.60
Calcium (Ca),1.00,197.00,200.00,1115.00,1550.00,FCC,29.8,34.00,-744.00,-2.87,2073.00,589.80,-2.37
Strontium (Sr),0.95,215.00,35.00,1042.00,2630.00,FCC,7.7,123.00,-814.00,-2.89,2043.00,549.50,-5.03
Titanium (Ti),1.54,176.00,21.90,1941.00,4507.00,HCP,3.25,43.00,-969.00,-1.63,304.00,658.80,-8.28
Vanadium (V),1.63,171.00,30.70,2183.00,6110.00,BCC,1.43,154.00,-1079.00,-1.18,274.00,650.90,-50.60
Chromium (Cr),1.66,189.00,94.00,2180.00,7190.00,BCC,7.9,126.00,-545.00,-0.74,122.00,652.90,-64.30
Manganese (Mn),1.55,161.00,7.80,1519.00,7470.00,BCC,6.2,128.00,-558.00,-1.18,140.00,717.30,-50.00
Iron (Fe),1.83,124.00,80.40,1811.00,7874.00,BCC,10,101.00,-394.40,-0.44,65.00,762.50,-15.70
Cobalt (Co),1.88,126.00,100.00,1768.00,8900.00,HCP,17,59.00,-447.40,-0.28,82.00,760.40,-63.70
Nickel (Ni),1.91,125.00,90.90,1728.00,8908.00,FCC,14,69.00,-320.10,-0.25,140.00,737.10,-111.70
Copper (Cu),1.90,128.00,401.00,1358.00,8960.00,FCC,59.6,17.00,-68.10,0.34,38.90,745.50,119.20
Zinc (Zn),1.65,134.00,116.00,692.50,7140.00,HCP,16.6,60.00,-214.10,-0.76,820.00,906.40,-58.00
Gallium (Ga),1.81,181.00,29.60,302.76,5907.00,Orthorhombic,3.25,138.00,-237.10,-0.53,585.00,578.80,29.10
Germanium (Ge),2.01,122.00,60.20,1210.40,5323.00,Diamond cubic,2.2,952.00,-437.40,-0.14,1600.00,762.00,119.40
Rubidium (Rb),0.82,303.00,58.20,312.30,1532.00,BCC,4.4,52.90,-46.90,-2.92,218.00,403.00,46.90
Yttrium (Y),1.22,227.00,17.20,1799.00,4472.00,HCP,1.17,54.90,-740.60,-2.37,1137.00,600.00,29.60
Zirconium (Zr),1.33,216.00,22.70,2128.00,6511.00,HCP,2.34,62.10,-609.30,-1.53,357.00,640.10,41.10
Niobium (Nb),1.60,208.00,53.70,2741.00,8570.00,BCC,7.1,149.30,-583.90,-1.04,423.00,652.10,86.10
Molybdenum (Mo),2.16,217.00,138.00,2896.00,10280.00,BCC,13.5,58.80,-744.90,-0.74,325.00,684.30,72.10
Technetium (Tc),1.90,211.00,51.80,2473.00,11500.00,HCP,5.5,126.40,-672.10,-1.14,213.00,702.00,53.00
Ruthenium (Ru),2.20,134.00,117.00,2607.00,12370.00,HCP,11.2,104.00,-455.60,-0.04,720.00,710.20,101.30
Rhodium (Rh),2.28,173.00,150.00,2239.00,12450.00,FCC,23,45.00,-520.30,-1.06,560.00,719.70,110.20
Palladium (Pd),2.20,288.00,71.80,1827.90,12023.00,FCC,10.8,92.60,-519.10,-0.92,320.00,804.40,53.70
Silver (Ag),1.93,172.00,429.00,1234.80,10490.00,FCC,61,16.00,-288.00,0.80,400.00,731.00,125.60
Cadmium (Cd),1.69,148.00,96.60,594.10,8650.00,HCP,14,61.00,-129.20,-0.40,200.00,867.80,-51.20
Indium (In),1.78,162.00,81.80,429.60,7310.00,Tetragonal,11.1,84.60,-117.80,0.34,550.00,558.30,28.90
Tin (Sn),1.96,140.00,67.00,504.90,7310.00,Tetragonal,9.2,109.00,-235.80,-0.14,820.00,708.60,107.30
Antimony (Sb),2.05,140.00,24.40,903.63,6697.00,Rhombohedral,3.7,254.00,-227.20,0.16,850.00,834.00,103.20
Cesium (Cs),0.79,334.00,35.90,301.44,1873.00,Cubic,4.6,154.00,-84.20,-2.92,80.00,375.70,45.50
Barium (Ba),0.89,278.00,18.40,1000.00,3510.00,BCC,2.4,366.00,-525.60,-2.91,75.00,502.90,14.00
Hafnium (Hf),1.30,216.00,23.00,2506.00,13310.00,HCP,1,194.00,-747.20,-1.55,232.00,658.50,17.20
Tantalum (Ta),1.50,214.00,57.50,3269.00,16654.00,BCC,7,76.30,-821.30,-1.68,240.00,761.00,31.00
Tungsten (W),2.36,239.00,173.00,3695.00,19250.00,BCC,18.3,55.60,-798.80,-0.93,372.00,770.00,78.60
Rhenium  (Re),1.90,216.00,47.90,3459.00,21020.00,HCP,5.6,52.40,-849.20,-1.10,220.00,760.00,14.50
Osmium (Os),2.20,136.00,87.60,3579.00,22610.00,HCP,9.71,1.00,778.50,1.07,165.00,840.00,106.10
Iridium (Ir),2.20,137.00,147.00,2989.00,22650.00,FCC,2.21,0.45,601.10,0.79,150.00,880.00,150.90
Platinum  (Pt),2.28,139.00,71.60,2041.00,21450.00,FCC,9.41,106.00,-286.30,1.20,120.00,870.00,205.00
Gold  (Au),2.54,144.00,317.00,1337.00,19320.00,FCC,45.2,45.20,-228.60,1.68,225.00,890.00,223.00
Mercury (Hg),2.00,149.00,8.30,234.17,13534.00,Rhombohedral,1.05,0.96,-51.20,-0.85,150.00,1007.10,48.20
Thalium (Tl),1.62,170.00,46.10,576.50,11852.00,HCP,1.46,1.52,-60.90,-0.34,120.00,589.40,36.40
Lead  (Pb),1.87,175.00,35.30,600.50,11340.00,FCC,4.81,20.80,-50.52,-0.13,100.00,715.60,35.10
Bismuth (Bi),2.02,160.00,7.97,544.30,9780.00,Rhombohedral,1.4,77.40,-18.61,-0.03,180.00,703.00,91.20
Zn-3Al,1.65,142,116,692,6680,HCP,2.5,68.3,-311.4,-0.763,820,906.4,-62
Zn-8Al,1.65,142,87.2,699,6480,HCP,1.8,61.3,-439.4,-0.763,745,905.3,-62
Zn-0.1In,1.78,142,82.8,692,6620,HCP,6.8,60,-280.8,-0.825,1200,906.1,-29
Zn-0.5In,1.78,142,75.7,692,6600,HCP,5.8,56.2,-265.9,-0.825,970,906.1,-29
Zn-1Bi,2.02,151,7.87,544,9560,RHL,1.3,68,-222.8,-0.994,620,906.1,-91
Zn-2Bi,2.02,151,7.87,544,9560,RHL,1,68.4,-204.5,-0.994,580,906.1,-91
Zn-0.2Al,1.61,142,100,692,6720,HCP,1.6,60,-278.1,-0.76,740,906.2,-62
Zn-0.3Sn-0.1Cu,1.96,139,70,683,6880,HCP,1.3,73.3,-246.5,-0.75,740,906.4,-108
Zn-0.1Cd,1.69,151,115,593,7120,HCP,1.6,73.4,-297.5,-0.4,280,906.4,-65
Zn-0.3Mn,1.55,139,66,692,7140,HCP,1.3,59.2,-259.4,-0.77,720,906.4,-50
Zn-0.5Al,1.65,133,120,655,6700,HCP,1.8,64.2,-249.6,-0.763,750,906.2,-62
Zn-0.1Cu,1.9,128,332,692,7100,HCP,5.8,60,-295.6,-0.787,720,906.4,-118
Zn-0.5Cu,1.9,128,332,692,7100,HCP,5.8,65.5,-272.6,-0.787,700,906.4,-118
Zn-0.2Ni,1.91,124,80.2,596,7860,HCP,1,58.6,-280.6,-0.24,820,906.4,-112
Zn-0.5Ni,1.9,128,332,692,7100,HCP,5.8,60.7,-278.1,-0.787,670,906.4,-112
Mg-2Al,1.31,160,62.5,736,1820,HCP,1.64,28,-301.2,-2.37,2200,737.7,-45
Mg-5Al,1.31,160,72.4,736,1800,HCP,1.89,32,-369.3,-2.37,2000,737.7,-45
Mg-10Al,1.31,160,74.9,736,1780,HCP,2.3,38,-467.8,-2.37,1800,737.7,-45
Mg-2Zn,1.31,160,70.4,858,1810,HCP,1.4,53,-316.8,-2.34,1220,737.3,-31
Mg-5Zn,1.31,160,89.9,658,1790,HCP,1.9,61,-358.4,-2.37,1050,737.3,-31
Mg-10Zn,1.31,160,99.5,618,1760,HCP,2.1,70,-436.4,-2.41,920,737.3,-31
Mg-2Ca,1.31,160,51.7,922,1830,HCP,1.85,23,-283.2,-2.37,2150,737.8,-2
Mg-5Ca,1.31,174,49.1,922,1780,HCP,1.74,27,-342.1,-2.38,1950,737.8,-2
Mg-10Ca,1.31,194,45.5,922,1710,HCP,1.61,31,-419.7,-2.39,1700,737.8,-2
Mg-2Si,1.31,160,104,923,1820,HCP,8.34,33,-261.1,-2.37,1570,737.8,-133
Mg-5Si,1.31,160,95,923,1820,HCP,7.62,38,-314.1,-2.37,1460,737.8,-133
Mg-10Si,1.31,160,82,923,1820,HCP,6.58,43,-318.1,-2.37,1310,737.8,-133
Na-1.5Al,0.93,190,60,371,1045,FCC,2.9,23,-229.0,-1.69,1120,495.8,-53
Na-3Al,0.93,190,73,370,1003,FCC,2.2,28,-332.6,-1.7,950,495.8,-53
Na-5Al,0.93,190,88,370,981,FCC,1.6,33,-431.8,-1.72,750,495.8,-53
Na-5Si,0.93,190,36.7,371,856,Cubic,3.6,44,-310.0,-2.71,2500,496.4,-133
Na-10Si,0.93,190,36.7,371,856,Cubic,3.6,70,-511.6,-2.71,2200,496.4,-133
Na-5Mg,0.93,190,51.5,1155,1114,HCP,1.03,14,-293.5,-2.37,1200,495.9,-40
Na-10Mg,0.93,160,57.6,1196,1013,HCP,1.15,16,-455.5,-2.37,1080,495.9,-40
Na-5Sn,0.93,186,26.7,768,"3,370",Orthorhombic,5.5,11,-188.5,-1.47,940,495.9,-107
Na-10Sn,0.93,162,26.7,768,"3,440",Tetragonal,3.6,12,-335.5,-1.47,820,495.9,-107
Li-2Al,0.98,152,180,933,680,Cubic,3.68,34,-129.3,-1.66,3850,520.2,-44
Li-5Al,1.61,143,210,933,635,Cubic,5.7,43,-315.3,-1.66,3000,520.2,-44
Li-5Si,0.98,145,39.1,463,885,Cubic,8.5,62,-245.4,-2.73,3300,520.2,-133
Li-10Si,0.98,145,32.4,463,860,Cubic,11,82,-405.8,-2.73,2800,520.2,-133
Li-5Sn,1.23,182,44.7,500,2150,Cubic,8.18,23,-169.8,-0.51,2200,520.2,-107
Li-10Sn,1.17,154,36.8,505,2220,Cubic,7.07,24,-294.9,-0.39,1800,520.2,-107
Li-5Bi,0.98,167,8,538,8320,unknown,1.4,69,-139.7,-0.81,1800,520.5,-91
Li-10Bi,0.98,167,8,538,8320,unknown,1.4,94,-239.0,-0.81,1400,520.5,-91
Fe-20Co,1.83,126,52.3,1643,8000,BCC,8.7,115,-128.9,-0.62,820,762.5,-64
Fe-30Co,1.88,125,44.7,1667,8200,BCC,7.5,133,-144.1,-0.62,770,762.5,-64
Fe-20Ni,1.83,126,29.4,1708,7874,BCC,8.1,12.3,-178.9,-0.25,660,746.0,-112
Fe-30Ni,1.91,124,30.7,1728,7874,BCC,9.3,10.8,-201.3,-0.25,540,746.0,-112
Fe-20Mn,1.55,139,25.9,1518,7874,BCC,8.8,11.4,-65.8,-1.18,1070,717.3,-50
Fe-30Mn,1.55,139,27.4,1518,7874,BCC,9.5,10.5,-77.4,-1.18,980,717.3,-50
Fe-20Cr,1.83,126,21.9,1808,7100,BCC,9.71,125,-207.1,-0.41,670,652.9,-64
Fe-30Cr,1.83,126,21.4,1783,7200,BCC,8.53,135,-227.3,-0.41,570,652.9,-64
Ni-20Fe,1.91,145,33,1728,8300,FCC,11.5,87,-152.7,0.44,550,737.0,-112
Ni-30Fe,1.91,145,30,1683,8200,FCC,10.8,92,-177.3,0.44,500,746.0,-112
Ni-20Co,1.88,124,34,1573,8725,FCC,10.5,49,-126.1,-0.33,960,737.1,-64
Ni-30Co,1.88,124,36,1593,8795,FCC,11.4,51,-149.7,-0.33,810,745.5,-64
Ni-20Mn,1.8,149,21.8,1728,8400,FCC,4.8,21,-95.0,-1.18,1100,737.1,-50
Ni-30Mn,1.8,149,23.2,1683,8300,FCC,5.5,18,-112.0,-1.18,1000,737.1,-50
Ni-20Cr,1.8,149,15.2,1698,8250,FCC,10.1,98.8,-178.0,-0.74,790,737.0,-64
Ni-30Cr,1.8,149,16.7,1673,8230,FCC,10.5,95.2,-200.5,-0.74,670,745.0,-64
Cu-5Zn,1.9,128,385,1173,8470,FCC,59.8,16.7,-94.0,-0.76,450,745.0,-117
Cu-10Zn,1.9,128,385,1173,8470,FCC,59.8,16.7,-140.2,-0.76,410,906.0,-117
Cu-5Sn,1.9,128,328,1356,8900,FCC,58,17.2,-94.4,-0.14,340,708.0,-107
Cu-10Sn,1.9,128,307,1323,8900,FCC,51.6,19.4,-146.8,-0.14,320,731.0,-107
Cu-5Ni,1.9,128,299,1358,8890,FCC,49.8,20.1,-139.5,-0.341,400,737.0,-112
Cu-10Ni,1.9,128,297,1358,8890,FCC,48.1,20.8,-238.3,-0.341,390,789.0,-112
Cu-5Mn,1.9,128,338,1356,8750,FCC,58.1,17.2,-70.1,0.34,390,738.0,-50
Cu-10Mn,1.55,140,305,1517,8800,FCC,59.5,16.8,-106.2,0.35,420,787.0,-50
Ca-5Al,1,197,29,1115,1930,Cubic,2.37,28.6,-306.4,-2.87,1020,589.0,-2
Ca-5Mg,1.31,160,93.9,924,1795,Cubic,2.27,31.5,-236.4,-2.37,740,737.0,-40
Ca-5Zn,1.65,142,116,692,1690,HCP,1.67,33.5,-147.7,-1.92,820,546.0,-31
Ca-5Sn,1.96,140,67,504,5480,Tetragonal,0.89,36.4,-114.4,-1.47,750,580.0,-107
Ca-10Al,1,231,51.3,1115,1780,Cubic,4.72,44.2,-305.8,-2.87,930,589.8,-2
Ca-10Mg,1.31,160,38.4,1020,1700,Cubic,5.64,49.8,-336.1,-2.37,670,737.7,-2
Ca-10Zn,1.65,139,116,692,1660,HCP,11.6,54.2,-277.7,-0.76,740,906.4,-3
Ca-10Sn,1.8,139,67,778,4480,Tetragonal,0.546,58.8,-228.1,-1.28,670,708.6,-2
K-25Na,0.82,275,100,336,862,BCC,2.6,62,-91.6,-2.71,2600,418.8,-48
K-10Li,0.98,134,84,453,512,BCC,11,81,-61.7,-3.04,3200,520.2,-60
K-10Si,1.9,117,149,1683,2330,Diamond Cubic,5.5,95,-167.4,-1.1,2700,786.5,-133
K-10Mg,1.31,160,156,923,1738,HCP,2.3,30,-239.4,-2.36,2600,737.7,-31
K-50Na,0.82,231,90.8,336.4,853,BCC,1.1,70,-170.8,-2.71,2400,419.0,-48
K-25Li,0.98,152,84.7,453.5,512,FCC,3.3,86.2,-123.5,-3.04,2200,520.2,-60
K-25Si,1.9,117,149,1687,2330,Diamond Cubic,4.5,252,-215.1,-1.28,1600,786.5,-133
K-25Mg,1.31,160,156,923,1738,HCP,5.5,45.2,-271.5,-2.37,2200,737.8,-31
Al-10Zn,1.61,143,113,658,2780,FCC,3.56,28.1,-192.6,-1.7,2400,577.6,-42
Al-3Li,1.47,122,208,933,2680,FCC,3.78,26.4,-37.6,-3.04,900,520.2,-28
Al-10Si,1.9,117,150,850,2700,FCC,2.99,33.4,-382.2,-0.97,1000,786.5,-134
Al-10Ti,1.54,147,20.1,1933,4510,HCP,2.34,42.7,-400.0,-1.64,1000,658.8,-8
Al-10Mg,1.31,160,139,923,1740,HCP,3.7,27,-318.2,-2.37,1100,737.7,-31
Al-5Zn,1.61,143,119,659,2720,Cubic,3.84,26,-148.9,-1.58,2000,577.5,-42
Al-1Li,1.82,134,237,933,2080,Cubic,11.3,8.85,22.1,-3.04,160,520.2,-28
Al-5Si,1.9,117,150,850,2710,Cubic,3.48,28.7,-248.1,-0.33,1000,786.5,-134
Al-5Ti,1.54,136,21.9,1941,4510,HCP,2.08,48,-281.1,-1.63,1100,658.8,-8
Al-5Mg,1.31,160,156,923,1738,HCP,3.5,28.6,-225.7,-2.35,1200,737.7,-31
